* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-07-2021
* Calibration Pure Dye CY5 is expired = Yes
* Calibration Pure Dye CY5 performed on = 10-23-2020
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-07-2021
* Calibration Pure Dye HEX is expired = Yes
* Calibration Pure Dye HEX performed on = 06-01-2020
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-07-2021
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-07-2021
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-07-2021
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-07-2021
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-07-2021
* Calibration RNaseP is expired  = No
* Calibration RNaseP performed on = 04-07-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-07-2021
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-07-2021
* Chemistry = OTHER
* Date Created = 
* Experiment Barcode = 
* Experiment Comment = 
* Experiment File Name = E:\MeltCurve4sConditions.eds
* Experiment Name = MeltCurve4sConditions
* Experiment Run End Time = 2021-05-31 20:22:26 PM CEST
* Experiment Type = Melt Curve
* Instrument Name = 278860619
* Instrument Serial Number = 278860619
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* User Name = Carles Torner

[Melt Curve Raw Data]
Well	Well Position	Reading	Temperature	Fluorescence	Derivative
15	A15	1	25.000	19,526.438	11,728.282
15	A15	2	25.299	18,933.300	12,172.369
15	A15	3	25.599	18,532.660	12,486.637
15	A15	4	25.898	18,332.969	12,560.531
15	A15	5	26.198	18,133.264	12,356.276
15	A15	6	26.497	17,807.762	11,922.044
15	A15	7	26.797	17,440.285	11,374.259
15	A15	8	27.096	17,266.875	10,858.329
15	A15	9	27.396	17,244.229	10,499.831
15	A15	10	27.695	17,039.420	10,361.746
15	A15	11	27.995	16,778.111	10,426.158
15	A15	12	28.294	16,734.744	10,611.940
15	A15	13	28.594	16,317.800	10,819.988
15	A15	14	28.893	16,088.634	10,978.976
15	A15	15	29.193	15,753.079	11,064.577
15	A15	16	29.492	15,718.793	11,084.720
15	A15	17	29.792	15,585.977	11,049.319
15	A15	18	30.091	15,120.710	10,951.874
15	A15	19	30.391	15,003.430	10,776.604
15	A15	20	30.690	14,621.452	10,521.461
15	A15	21	30.990	14,635.097	10,215.149
15	A15	22	31.289	14,198.805	9,912.461
15	A15	23	31.589	14,115.835	9,669.312
15	A15	24	31.888	14,033.030	9,512.108
15	A15	25	32.188	13,763.226	9,420.196
15	A15	26	32.487	13,631.059	9,333.665
15	A15	27	32.786	13,375.303	9,183.444
15	A15	28	33.086	13,111.233	8,927.939
15	A15	29	33.385	12,897.854	8,573.944
15	A15	30	33.685	12,805.614	8,171.356
15	A15	31	33.984	12,746.712	7,786.395
15	A15	32	34.284	12,541.096	7,469.896
15	A15	33	34.583	12,189.082	7,235.877
15	A15	34	34.883	12,481.099	7,057.156
15	A15	35	35.182	12,091.051	6,877.044
